Event,ID,Rank,Name,Country,Qualification
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1226,1,JESSICA PILZ,AUT,20.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1161,2,MIA KRAMPL,SLO,36.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3465,3,ELNAZ REKABI,IRI,42.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3357,4,TAMARA ULZHABAYEVA,KAZ,75.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3113,5,HANNAH MEUL,GER,90.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",4320,6,ROXANA WIENAND,GER,100.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1486,7,IEVGENIIA KAZBEKOVA,UKR,132.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1517,8,TETIANA KOLKOTINA,UKR,242.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3524,9,MAHYA DARABIAN,IRI,360.0
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1488,10,MARGARYTA ZAKHAROVA,UKR,472.5
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1526,11,NIKA POTAPOVA,UKR,600.0
