Event,ID,Rank,Name,Gender,Country,Qualification
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,2501,1,OCEANIA MACKENZIE,F,AUS,1
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,2563,2,ANGIE SCARTH-JOHNSON,F,AUS,48
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,11780,3,ELLA EASTON,F,AUS,30
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,2499,4,SIOBHAN DOBIE,F,AUS,24
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,2488,5,LUCINDA ANN STIRLING,F,AUS,72
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,11824,6,MIA WEEDA,F,AUS,280
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,12289,7,CIRRUS TAN,F,NZL,392
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,2526,8,LEAH JEFFRIES,F,AUS,360
IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020,2490,9,ROXY PERRY,F,AUS,486
