Event,ID,Rank,Name,Country,Qualification
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1103,1,ERIN STERKENBURG,RSA,1
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1078,2,GEORGIANA DORWARD,RSA,12
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12308,3,TEGWEN OATES,RSA,60
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12307,4,CATHERINE HONEGGER,RSA,56
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,11800,5,CAITLYN BURWOOD,RSA,147
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1068,6,ALYSSA MEYER,RSA,150
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1104,7,DANIELLE VISSER,RSA,144
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12409,8,CREDO KASEMIIRE,UGA,512
