Event,ID,Rank,Name,Gender,Country,Qualification
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,1565,1,ALANNAH YIP,F,CAN,168
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3911,2,ALEJANDRA CONTRERAS,F,CHI,36
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,1797,3,LAUREN BAIR,F,USA,20
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3209,4,ANDREA ROJAS,F,ECU,176
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,1577,5,REBECCA FRANGOS,F,CAN,192
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,2001,6,NORAH CHI,F,USA,112
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3161,7,VALENTINA AGUADO,F,ARG,54
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,1999,8,EMMA HUNT,F,USA,130
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,1870,9,SIENNA KOPF,F,USA,264
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3912,10,CARMEN CONTRERAS,F,CHI,750
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,1579,11,ALLISON VEST,F,CAN,882
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3180,12,LESLIE ROMERO,F,VEN,1500
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3900,13,MUYKUAY SILVA,F,CHI,2016
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,4227,14,ARANTZA FERNÁNDEZ GUTIERREZ,F,MEX,2431
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3139,15,THAIS MAKINO SHIRAIWA,F,BRA,2448
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,11614,16,BIANCA MAGALHAES DE CASTRO,F,BRA,2550
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,4221,17,VALERIA MACIAS FERREIRA,F,MEX,4212
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,4206,18,ARANTZA LUNA VELASCO,F,MEX,5054
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,4215,19,MARÍA FERNANDA GONZÁLEZ RÁMIREZ,F,MEX,5472
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,3137,,LUANA RISCADO,F,BRA,DNS
