Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1364,1,ADAM ONDRA,CZE,TOP  1. | TOP  1. [5.41],40+,37+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1559,2,SEAN MCCOLL,CAN,TOP  1. | TOP  1. [5.41],42+,37
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1214,3,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [5.41],43+,36+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,773,4,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | TOP  1. [5.41],41+,36+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1129,5,DOMEN SKOFIC,SLO,TOP  1. | TOP  1. [5.41],42+,34+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,437,6,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [5.41],40+,33+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2289,7,MINORU NAKANO,JPN,TOP  1. | 27+  29. [14.53],41,12+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,444,8,GAUTIER SUPPER,FRA,TOP  1. | TOP  1. [5.41],40+,12
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2254,9,SACHI AMMA,JPN,TOP  1. | 36+  9. [7.86],40+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,864,10,FRANCESCO VETTORATA,ITA,32+  16. | 35+  14. [16.93],40+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3422,11,JAN HOJER,GER,32   22. | 34+  18. [20.71],40+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3125,12,SEBASTIAN HALENKE,GER,TOP  1. | TOP  1. [5.41],40,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,855,13,STEFANO GHISOLFI,ITA,TOP  1. | 36+  9. [7.86],39+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1127,14,URBAN PRIMOZIC,SLO,25+  44. | 36   11. [23.24],36,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,463,15,THOMAS JOANNES,FRA,TOP  1. | 36   11. [8.83],35,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2273,16,KEIICHIRO KORENAGA,JPN,31   27. | 35+  14. [21.02],34,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1221,17,MAX RUDIGIER,AUT,32+  16. | 35+  14. [16.93],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1576,18,ELAN JONASMCRAE,CAN,33   15. | 27+  29. [22.08],30,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2291,19,TOMOAKI TAKATA,JPN,36+  13. | 28   27. [18.91],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,314,20,LOÏC TIMMERMANS,BEL,32+  16. | 29+  26. [21.93],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3582,21,TIM REUSER,NED,31+  23. | 34+  18. [21.86],29,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1216,22,MARIO LECHNER,AUT,31   27. | 36   11. [18.49],28,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,465,23,MAËL BONZOM,FRA,32+  16. | 27+  29. [24.52],27,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,448,24,THOMAS BALLET,FRA,28   34. | 35+  14. [23.62],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,4299,25,SASCHA LEHMANN,SUI,34   14. | 30+  23. [18.33],25,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2014,26,CHRISTOPH HANKE,GER,32+  16. | 33+  22. [20.17],25,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2261,27,MASAHIRO HIGUCHI,JPN,30+  31. | 34+  18. [24.78],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1234,28,GEORG PARMA,AUT,30   33. | 34+  18. [25.37],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3889,29,MARTIN TEKLES,GER,31   27. | 28   27. [28.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1135,30,MARTIN BERGANT,SLO,31+  23. | 27+  29. [28.22],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1128,31,JURE RAZTRESEN,SLO,32+  16. | 19+  40. [28.37],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2931,32,HAIBIN QU,CHN,28   34. | 30+  23. [29.39],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,854,33,MARCELLO BOMBARDI,ITA,31   27. | 27+  29. [30.43],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,776,34,JAVIER CANO BLAZQUEZ,ESP,26   40. | 30+  23. [31.56],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,103,35,SERGEI BYDTAEV,RUS,31+  23. | 19+  40. [32.65],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1228,36,BERNHARD RÖCK,AUT,28   34. | 27+  29. [34.21],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,461,37,CHARLI BLEIN,FRA,31+  23. | 19   48. [34.47],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3985,38,YIFTACH KUSHNIR,ISR,27+  39. | 27+  29. [35.60],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,308,39,STEPHANE HANSSENS,BEL,28   34. | 19+  40. [39.57],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,634,40,DAVID BARRANS,GBR,25+  44. | 23+  37. [41.35],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1134,41,MILAN PRESKAR,SLO,22   55. | 27+  29. [42.28],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,320,42,NICOLAS COLLIN,BEL,26   40. | 19+  40. [42.49],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3427,43,DIMITRI VOGT,SUI,28   34. | 15   52. [44.09],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1138,44,ANZE PEHARC,SLO,23   50. | 23+  37. [44.24],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,6453,44,TIM UNUK,SLO,23   50. | 23+  37. [44.24],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1489,46,FEDIR SAMOILOV,UKR,26   40. | 17+  50. [45.55],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,61,47,MIKHAIL CHERNIKOV,RUS,30+  31. | 6   66. [45.60],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,649,48,JAMES POPE,GBR,24+  47. | 19+  40. [45.69],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3131,49,YANNICK FLOHÉ,GER,23   50. | 19+  40. [47.33],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3248,50,KEVIN HUSER,SUI,26   40. | 15   52. [47.34],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1245,51,JAN-LUCA POSCH,AUT,25+  44. | 16.5   51. [47.91],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,317,52,ANTOINE KAUFFMANN,BEL,20   57. | 19+  40. [49.79],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1378,53,MARTIN JECH,CZE,19   59. | 19+  40. [50.66],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2851,54,PIOTR SCHAB,POL,22+  54. | 19   48. [51.18],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2286,55,SHINICHIRO NOMURA,JPN,24+  47. | 14+  57. [53.67],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1264,55,MATTHIAS SCHIESTL,AUT,24+  47. | 14+  57. [53.67],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2259,57,NAOTO HAKAMADA,JPN,21   56. | 15   52. [54.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1367,58,TOMAS BINTER,CZE,23   50. | 14+  57. [55.59],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1413,59,JAN ZIMA,CZE,14+  64. | 15   52. [58.79],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2938,60,ZIDA MA,CHN,19+  58. | 14+  57. [58.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2426,61,HRISTO ALTANCHEV,BUL,12+  65. | 15   52. [59.47],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,4308,62,OBED HARDMEIER,SUI,17+  61. | 14+  57. [60.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,792,63,BITTOR ESPARTA FRADE,ESP,17   62. | 14+  57. [60.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,6454,64,PAU JOVER ESCAPA,ESP,16   63. | 14+  57. [61.48],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2840,65,MACIEJ DOBRZANSKI,POL,18   60. | 13+  64. [61.97],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,650,66,LUKE DAWSON,GBR,12+  65. | 6+  65. [65.25],,
