Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",314,25,LOÏC TIMMERMANS,M,BEL,38+  13. | 29+  31. [21.33],26+,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",3889,26,MARTIN TEKLES,M,GER,36+  17. | 32+  27. [22.33],26+,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",3111,27,DAVID FIRNENBURG,M,GER,32+  30. | 33+  13. [23.56],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",312,28,SÉBASTIEN BERTHE,M,BEL,35+  19. | 29+  31. [25.81],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2264,29,TAKUMA NUMAJIRI,M,JPN,33+  28. | 33   25. [26.96],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",3422,30,JAN HOJER,M,GER,34   27. | 32+  27. [27.74],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",649,31,JAMES POPE,M,GBR,21+  44. | 33+  13. [28.85],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2271,32,NAOKI SHIMATANI,M,JPN,20   47. | 33+  13. [29.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",634,33,DAVID BARRANS,M,GBR,31+  32. | 29+  31. [32.75],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2347,33,TOMOKI MUSHA,M,JPN,31+  32. | 29+  31. [32.75],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1502,35,MYKHAYIL TKACHUK,M,UKR,31+  32. | 26+  38. [36.33],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2493,36,CAMPBELL HARRISON,M,AUS,23+  38. | 28   35. [37.42],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1713,37,JOSH LEVIN,M,USA,30+  35. | 26+  38. [37.68],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1776,37,SHANE MESSER,M,USA,30+  35. | 26+  38. [37.68],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",688,39,MAXIMILLIAN MILNE,M,GBR,23+  38. | 27+  36. [37.95],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",685,40,AIDAN ROBERTS,M,GBR,32   31. | 21+  46. [38.37],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",645,41,WILLIAM RIDAL,M,GBR,23+  38. | 26+  38. [40.00],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2017,42,ALEXANDER AVERDUNK,M,GER,24   37. | 21+  46. [41.92],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",698,43,JOSEPH CZUBKOWSKI,M,GBR,23+  38. | 23+  43. [41.95],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",679,43,SAMUEL OAKES,M,GBR,23+  38. | 23+  43. [41.95],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2840,45,MACIEJ DOBRZANSKI,M,POL,21+  44. | 26+  38. [42.43],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",651,46,PETER DAWSON,M,GBR,19+  48. | 27   37. [42.80],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",3123,47,SIMON UNGER,M,GER,23   43. | 23+  43. [43.50],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1055,48,KATLEHO POBE,M,RSA,21+  44. | 19+  50. [48.14],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1367,49,TOMAS BINTER,M,CZE,19+  48. | 21+  46. [48.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",654,50,ORRIN COLEY,M,GBR,19+  48. | 19+  50. [50.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1429,50,JAKUB DVORAK,M,CZE,19+  48. | 19+  50. [50.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",724,52,JOSEPH WALMSLEY,M,GBR,17   55. | 21+  46. [51.11],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",678,53,THOMAS MATTHEWS,M,GBR,17+  52. | 19+  50. [52.24],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",668,54,AIDEN DUNNE,M,GBR,17+  52. | 19   54. [53.50],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1787,55,JORDAN ROMIG,M,USA,17+  52. | 17   55. [53.99],,
