Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",437,1,ROMAIN DESGRANGES,M,FRA,TOP  1. | 35   18. [7.42],34,41
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1129,2,DOMEN SKOFIC,M,SLO,36+  11. | 37+  4. [8.80],34,37
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1489,3,FEDIR SAMOILOV,M,UKR,36+  11. | TOP  1. [5.57],39,35+
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3422,4,JAN HOJER,M,GER,35+  21. | 35+  9. [17.85],34+,35+
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2301,5,YUKI HADA,M,JPN,37   7. | 37   7. [7.71],34,35
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2014,6,CHRISTOPH HANKE,M,GER,37   7. | 30+  33. [17.25],34+,34
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3577,7,JORG VERHOEVEN,M,NED,TOP  1. | 35+  9. [5.70],34,33+
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1741,8,SEAN BAILEY,M,USA,36+  11. | 37+  4. [8.80],34+,32
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2667,9,HANNES PUMAN,M,SWE,30+  47. | TOP  1. [9.70],34,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2273,10,KEIICHIRO KORENAGA,M,JPN,38+  5. | 32   29. [12.04],34,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",855,11,STEFANO GHISOLFI,M,ITA,TOP  1. | 37+  4. [3.54],33+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2272,12,KOKORO FUJII,M,JPN,37   7. | 35   18. [13.67],33+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1389,13,JAKUB KONECNY,M,CZE,35+  21. | 35+  9. [17.85],33+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",463,14,THOMAS JOANNES,M,FRA,36+  11. | 35+  9. [14.20],33,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3125,15,SEBASTIAN HALENKE,M,GER,35+  21. | 35   18. [23.22],33,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3989,16,YUVAL SHEMLA,M,ISR,TOP  1. | 35+  9. [5.70],32,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",79,17,ALEKSEY RUBTSOV,M,RUS,35+  21. | 36+  8. [14.00],30+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",854,18,MARCELLO BOMBARDI,M,ITA,35+  21. | 35+  9. [17.85],30+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",320,19,NICOLAS COLLIN,M,BEL,34   32. | TOP  1. [8.00],25+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",172,20,VLADISLAV SHEVCHENKO,M,RUS,36+  11. | 35   18. [18.47],25+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",314,21,LOÏC TIMMERMANS,M,BEL,36+  11. | 34+  27. [20.65],25+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",864,22,FRANCESCO VETTORATA,M,ITA,32+  35. | 35+  9. [21.48],25+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3889,23,MARTIN TEKLES,M,GER,35+  21. | 35   18. [23.22],25+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",776,24,JAVIER CANO BLAZQUEZ,M,ESP,31+  42. | 35+  9. [23.78],25+,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",519,25,NAO MONCHOIS,M,FRA,36+  11. | 31+  30. [21.74],22,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3111,26,DAVID FIRNENBURG,M,GER,37+  6. | 30+  33. [14.49],21,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2851,27,PIOTR SCHAB,M,POL,36+  11. | 29   40. [25.21],,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1221,28,MAX RUDIGIER,M,AUT,37   7. | 14   77. [25.58],,
