Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,4299,35,SASCHA LEHMANN,M,SUI,34.5+  25. | 25+  35. [31.10],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1378,36,MARTIN JECH,M,CZE,30+  42. | 26+  19. [31.42],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1255,37,ALFONS DORNAUER,M,AUT,31   41. | 26   29. [35.94],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1245,38,JAN-LUCA POSCH,M,AUT,22+  54. | 26+  19. [36.28],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,2761,39,STEFAN BEDNAR,M,SVK,30   43. | 26   29. [37.23],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,3427,40,DIMITRI VOGT,M,SUI,29+  46. | 26   29. [38.68],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,2042,41,SEUNGWOON CHO,M,KOR,34.5+  25. | 17+  59. [39.71],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,3982,42,OR WECHSLER,M,ISR,34   31. | 20+  48. [40.61],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1216,43,MARIO LECHNER,M,AUT,34   31. | 19+  50. [41.64],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,317,44,ANTOINE KAUFFMANN,M,BEL,30   43. | 25   39. [42.73],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,893,45,GIORGIO BENDAZZOLI,M,ITA,34   31. | 18   55. [43.83],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,776,46,JAVIER CANO BLAZQUEZ,M,ESP,29+  46. | 25   39. [44.40],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,6413,46,MASAFUMI TOYOTA,M,JPN,29+  46. | 25   39. [44.40],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,95,48,YURY TAKZHANOV,M,RUS,28+  51. | 25   39. [46.45],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,3213,49,DANNY VALENCIA,M,ECU,22+  54. | 25   39. [48.21],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,5470,50,REMY BERGASSE,M,FRA,32+  38. | 17   61. [48.46],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,2670,51,FREDRIK SERLACHIUS,M,SWE,30   43. | 18+  53. [48.52],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1234,52,GEORG PARMA,M,AUT,29+  46. | 19+  50. [49.22],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1413,53,JAN ZIMA,M,CZE,22+  54. | 24+  45. [50.20],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,4852,54,FELIPE CAMARGO,M,BRA,28+  51. | 20+  48. [50.22],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,6414,55,MORITZ WINKLER,M,GER,22+  54. | 22+  46. [50.75],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1367,56,TOMAS BINTER,M,CZE,28+  51. | 19+  50. [51.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1586,57,NATHAN SMITH,M,CAN,22   59. | 22   47. [52.88],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,1592,58,KYLE MURDOCH,M,CAN,29   50. | 18   55. [53.15],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,4322,59,REMO LEHMANN,M,SUI,22+  54. | 17+  59. [57.72],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,650,60,LUKE DAWSON,M,GBR,22   59. | 18   55. [57.98],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,6305,61,MARTIN KLEMSA,M,CZE,19+  61. | 18   55. [58.71],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,6415,62,BRAGE BIRKELUND OLSEN,M,NOR,17   62. | 13+  62. [62.00],,
