Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2041,14,HANWOOL KIM,M,KOR,21   38. | 26+  6. [16.43],34,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1489,15,FEDIR SAMOILOV,M,UKR,28+  12. | 21+  21. [19.36],34,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2309,16,YOSHIYUKI OGATA,M,JPN,27+  15. | 24+  7. [14.27],31,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2272,17,KOKORO FUJII,M,JPN,29+  7. | 24+  7. [9.67],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2014,18,CHRISTOPH HANKE,M,GER,27+  15. | 21+  21. [23.56],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1135,19,MARTIN BERGANT,M,SLO,22   26. | 24+  7. [18.32],28,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,470,20,JEREMY BONDER,M,FRA,28   14. | 21+  21. [20.49],28,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1124,21,JERNEJ KRUDER,M,SLO,28+  12. | 22   19. [15.61],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2052,22,JONGWON CHON,M,KOR,30   6. | 23+  16. [9.80],25,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2307,23,MEICHI NARASAKI,M,JPN,23   23. | 24+  7. [16.08],23+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,4299,24,SASCHA LEHMANN,M,SUI,29+  7. | 17+  42. [19.99],23+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2276,25,TOMOA NARASAKI,M,JPN,21   38. | 24+  7. [22.25],23+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2286,26,SHINICHIRO NOMURA,M,JPN,27+  15. | 22+  17. [17.99],22+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,85,27,SERGEI LUZHETSKII,M,RUS,29+  7. | 21+  21. [15.97],11,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2667,28,HANNES PUMAN,M,SWE,22   26. | 22   19. [24.39],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,103,29,SERGEI BYDTAEV,M,RUS,23   23. | 21+  21. [26.55],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2261,30,MASAHIRO HIGUCHI,M,JPN,22+  25. | 21+  21. [27.39],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2057,31,MINYOUNG LEE,M,KOR,21   38. | 22+  17. [28.06],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1134,32,MILAN PRESKAR,M,SLO,27+  15. | 17+  42. [29.49],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,648,33,WILLIAM BOSI,M,GBR,22   26. | 21+  21. [30.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3776,33,LARS HOFFMANN,M,GER,22   26. | 21+  21. [30.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1216,33,MARIO LECHNER,M,AUT,22   26. | 21+  21. [30.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1234,33,GEORG PARMA,M,AUT,22   26. | 21+  21. [30.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,1221,33,MAX RUDIGIER,M,AUT,22   26. | 21+  21. [30.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,3427,33,DIMITRI VOGT,M,SUI,22   26. | 21+  21. [30.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,649,39,JAMES POPE,M,GBR,21+  36. | 21+  21. [33.09],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,320,40,NICOLAS COLLIN,M,BEL,21   38. | 21+  21. [36.74],,
