Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1129,1,DOMEN SKOFIC,M,SLO,38+  3. | TOP  1. [3.97],52+,53+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1214,2,JAKOB SCHUBERT,M,AUT,TOP  1. | 39+  9. [3.67],45+,53+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,444,3,GAUTIER SUPPER,M,FRA,TOP  1. | TOP  1. [2.29],49+,50
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,437,4,ROMAIN DESGRANGES,M,FRA,38+  3. | TOP  1. [3.97],51,49+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3125,5,SEBASTIAN HALENKE,M,GER,34+  9. | TOP  1. [6.48],49,49+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,855,6,STEFANO GHISOLFI,M,ITA,32   19. | 38   11. [15.17],45,45+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,773,7,RAMÓN JULIAN PUIGBLANQUE,M,ESP,34+  9. | 33+  21. [18.17],TOP,43+
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2041,8,HANWOOL KIM,M,KOR,34+  9. | 34.5+  14. [13.19],45+,33
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2273,9,KEIICHIRO KORENAGA,M,JPN,34+  9. | 33+  21. [18.17],44.5+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,314,10,LOÏC TIMMERMANS,M,BEL,22+  34. | 34   18. [25.60],44.5+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,463,11,THOMAS JOANNES,M,FRA,38+  3. | TOP  1. [3.97],44.5,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,864,12,FRANCESCO VETTORATA,M,ITA,32+  17. | TOP  1. [7.83],44.5,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2261,13,MASAHIRO HIGUCHI,M,JPN,17+  37. | 40+  7. [17.15],44+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3897,14,TOMAS RAVANAL,M,CHI,32+  17. | 33+  21. [21.94],44+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,4299,15,SASCHA LEHMANN,M,SUI,18   36. | 34   18. [26.15],44+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1221,16,MAX RUDIGIER,M,AUT,34+  9. | 33+  21. [18.17],44,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1127,17,URBAN PRIMOZIC,M,SLO,33+  16. | 40   8. [11.31],43+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,61,18,MIKHAIL CHERNIKOV,M,RUS,34+  9. | 38+  10. [10.95],41+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,103,19,SERGEI BYDTAEV,M,RUS,27+  30. | 34.5+  14. [21.20],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,854,20,MARCELLO BOMBARDI,M,ITA,36+  7. | 34+  17. [10.91],39+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3889,21,MARTIN TEKLES,M,GER,30+  22. | 33+  21. [24.87],39+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1216,22,MARIO LECHNER,M,AUT,38+  3. | 33+  21. [11.12],36,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3989,23,YUVAL SHEMLA,M,ISR,34+  9. | 36+  13. [12.49],34,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,65,24,EVGENII ZAZULIN,M,RUS,25   33. | 34.5   16. [22.98],32+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,465,25,MAËL BONZOM,M,FRA,32   19. | 38   11. [15.17],30+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3112,26,RUBEN FIRNENBURG,M,GER,35+  8. | 32+  37. [17.44],30,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,880,27,STEFANO CARNATI,M,ITA,28+  26. | 33+  21. [27.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2014,27,CHRISTOPH HANKE,M,GER,28+  26. | 33+  21. [27.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1251,27,MATHIAS POSCH,M,AUT,28+  26. | 33+  21. [27.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,312,30,SÉBASTIEN BERTHE,M,BEL,32   19. | 32   40. [28.28],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1134,31,MILAN PRESKAR,M,SLO,27+  30. | 33+  21. [29.20],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1135,32,MARTIN BERGANT,M,SLO,30+  22. | 32+  37. [29.24],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2667,33,HANNES PUMAN,M,SWE,28+  26. | 33   35. [31.24],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1255,34,ALFONS DORNAUER,M,AUT,30   24. | 31   43. [32.31],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1741,35,SEAN BAILEY,M,USA,17+  37. | 33+  21. [33.99],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1576,36,ELAN JONASMCRAE,M,CAN,13+  63. | 34   18. [34.87],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,776,37,JAVIER CANO BLAZQUEZ,M,ESP,17   48. | 33+  21. [36.52],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,979,38,ALBERTO GOTTA,M,ITA,29   25. | 26   57. [37.91],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,499,39,NATHAN MICHEL,M,FRA,17+  37. | 33   35. [38.61],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1228,40,BERNHARD RÖCK,M,AUT,15+  50. | 33+  21. [38.71],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1389,41,JAKUB KONECNY,M,CZE,22+  34. | 29+  47. [40.69],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,451,42,ANATOLE BOSIO,M,FRA,15   60. | 33+  21. [40.96],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2761,43,STEFAN BEDNAR,M,SVK,17+  37. | 30.5   45. [43.47],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1378,44,MARTIN JECH,M,CZE,27+  30. | 14+  63. [44.37],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1264,45,MATTHIAS SCHIESTL,M,AUT,15+  50. | 32+  37. [45.51],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2507,46,ALISTAIR EARLEY,M,AUS,17+  37. | 28+  50. [45.83],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2687,47,KRISTOFFER LINDBÄCK,M,SWE,17+  37. | 27   51. [46.73],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,798,48,IÑAKI ARANTZAMENDI IRUETA,M,ESP,15+  50. | 31+  41. [47.56],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3427,48,DIMITRI VOGT,M,SUI,15+  50. | 31+  41. [47.56],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2789,50,MORITZ WALDLEBEN,M,SUI,17+  37. | 26+  56. [48.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,3061,51,THILO JELDRIK SCHRÖTER,M,NOR,17+  37. | 26   57. [49.14],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2040,52,JIHWAN PARK,M,KOR,17+  37. | 17+  62. [51.03],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1759,53,MARTIN KUHNEL,M,USA,15+  50. | 29+  47. [51.15],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,138,54,NIKOLAI MICHUROV,M,RUS,17   48. | 26.5   54. [51.41],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,461,55,CHARLI BLEIN,M,FRA,17+  37. | 14+  63. [51.64],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1502,56,MYKHAYIL TKACHUK,M,UKR,17+  37. | 12+  66. [52.65],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,317,57,ANTOINE KAUFFMANN,M,BEL,13+  63. | 31   43. [52.76],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2493,58,CAMPBELL HARRISON,M,AUS,15+  50. | 27   51. [53.24],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1586,58,NATHAN SMITH,M,CAN,15+  50. | 27   51. [53.24],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1235,60,JOHANNES HELD,M,AUT,15   60. | 29+  47. [54.11],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,792,61,BITTOR ESPARTA FRADE,M,ESP,6   66. | 30+  46. [55.10],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1054,62,OLIVER MARX,M,RSA,15+  50. | 18+  60. [57.42],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1413,62,JAN ZIMA,M,CZE,15+  50. | 18+  60. [57.42],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,2790,64,MARCO MÜLLER,M,SUI,15   60. | 26.5   54. [57.66],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1581,65,MATTHEW WELLINGTON,M,CAN,15+  50. | 14   65. [59.52],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,1429,66,JAKUB DVORAK,M,CZE,13+  63. | 25+  59. [61.45],,
