Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",437,1,ROMAIN DESGRANGES,M,FRA,TOP  1. | 40+  24. [14.58],TOP,44+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1214,2,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [7.14],45+,44+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",93,3,DMITRII FAKIRIANOV,M,RUS,TOP  1. | TOP  1. [7.14],43,42
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1129,4,DOMEN SKOFIC,M,SLO,TOP  1. | TOP  1. [7.14],45+,39+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1364,5,ADAM ONDRA,M,CZE,TOP  1. | TOP  1. [7.14],36+,39+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3125,6,SEBASTIAN HALENKE,M,GER,41+  17. | 45   12. [14.90],35+,34+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",864,7,FRANCESCO VETTORATA,M,ITA,40+  22. | 44   14. [18.52],41+,32+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",773,8,RAMÓN JULIAN PUIGBLANQUE,M,ESP,TOP  1. | TOP  1. [7.14],46+,30+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",855,9,STEFANO GHISOLFI,M,ITA,TOP  1. | TOP  1. [7.14],34+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1221,10,MAX RUDIGIER,M,AUT,TOP  1. | 41+  19. [12.87],34+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",463,11,THOMAS JOANNES,M,FRA,TOP  1. | 40   27. [15.97],34+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1127,12,URBAN PRIMOZIC,M,SLO,TOP  1. | TOP  1. [7.14],34,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2041,13,HANWOOL KIM,M,KOR,41+  17. | TOP  1. [10.54],33+,
