Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2851,49,PIOTR SCHAB,POL,30+  44. | 31+  46. [46.25],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1586,50,NATHAN SMITH,CAN,30+  44. | 23+  56. [50.98],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2789,51,MORITZ WALDLEBEN,SUI,27+  53. | 27+  50. [53.18],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1378,52,MARTIN JECH,CZE,27+  53. | 27   52. [53.96],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2761,53,STEFAN BEDNAR,SVK,27+  53. | 26   54. [54.99],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3593,54,NIGEL ARMINO,NED,27+  53. | 23+  56. [56.25],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,650,55,LUKE DAWSON,GBR,26+  61. | 27+  50. [56.40],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3985,56,YIFTACH KUSHNIR,ISR,30   49. | 20+  66. [57.37],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3586,57,MARK BRAND,NED,29+  51. | 21   64. [57.63],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3066,58,LEO KETIL BØE,NOR,27+  53. | 22+  58. [57.72],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,339,58,SVEN LEMPEREUR,BEL,27+  53. | 22+  58. [57.72],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,5015,58,JURGEN LIS,BEL,27+  53. | 22+  58. [57.72],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,6450,61,NICOLAS VANCAYZEELE,BEL,26+  61. | 25+  55. [58.86],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,6451,62,NICOLAS GIRALDO,COL,26   66. | 26+  53. [59.37],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3591,63,DON VAN LAERE,NED,26+  61. | 22+  58. [61.22],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,6305,64,MARTIN KLEMSA,CZE,26+  61. | 22   62. [62.50],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,788,65,ÀLEX HERNÁNDEZ CASTILLA,ESP,27   60. | 20+  66. [63.17],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,5652,66,NOÉ BERGER,LUX,25   68. | 21+  63. [65.45],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,6452,66,JOOHWAN YOON,KOR,26+  61. | 20   68. [65.45],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,803,68,SERGIO VERDASCO URIZAL,ESP,26   66. | 21   64. [65.49],,
