Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1241,50,FLORIAN KLINGLER,AUT,18+  68. | 27   34. [48.26],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,67,51,VADIM TIMONOV,RUS,22   52. | 23+  43. [48.61],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1134,52,MILAN PRESKAR,SLO,19   67. | 26+  35. [48.77],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,312,53,SÉBASTIEN BERTHE,BEL,26+  35. | 16+  61. [48.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,320,54,NICOLAS COLLIN,BEL,19+  66. | 25+  37. [50.41],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,765,55,PHILIPP MARTIN,GER,21+  54. | 23   48. [51.41],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1169,56,ANDREJ POLAK,SLO,23   48. | 18+  55. [51.91],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,544,57,ALISTAIR DUVAL,FRA,26   41. | 16+  61. [52.46],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,3136,58,CESAR GROSSO,BRA,19.8   57. | 21   51. [54.39],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,2101,59,DOHYUN LEE,KOR,22   52. | 17+  57. [55.42],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1277,60,LOUIS GUNDOLF,AUT,23   48. | 16+  61. [56.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1502,60,MYKHAYIL TKACHUK,UKR,23   48. | 16+  61. [56.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,3127,62,MAX KLEESATTEL,GER,19.5   60. | 19   54. [58.09],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,2218,63,CHEUNG-CHI SHOJI CHAN,HKG,21+  54. | 16+  61. [59.06],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1418,64,SIMON POTUCEK,CZE,19.5   60. | 17+  57. [60.47],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,3596,65,LETO CAVÉ,NED,19.8   57. | 16+  61. [60.93],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,2214,66,KA-CHUN YAU,HKG,18+  68. | 17+  57. [63.30],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,683,67,KIERAN FORREST,GBR,14+  70. | 17+  57. [64.22],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,2217,68,CHI-FUNG AU,HKG,19.5   60. | 15+  68. [65.43],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,109,68,ALEKSANDR SHIKOV,RUS,19.5   60. | 15+  68. [65.43],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1754,70,JOHN BROSLER,USA,19.5   60. | 13+  71. [66.61],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,11615,71,SIMÓN PADIN,ARG,13+  72. | 14   70. [70.99],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1372,72,JAN KRIZ,CZE,14+  70. | 8+  72. [71.25],,
