Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",437,1,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [3.87],39,47+
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",3111,27,DAVID FIRNENBURG,GER,32+  30. | 33+  13. [23.56],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",312,28,SÉBASTIEN BERTHE,BEL,35+  19. | 29+  31. [25.81],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2264,29,TAKUMA NUMAJIRI,JPN,33+  28. | 33   25. [26.96],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",3422,30,JAN HOJER,GER,34   27. | 32+  27. [27.74],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",649,31,JAMES POPE,GBR,21+  44. | 33+  13. [28.85],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2271,32,NAOKI SHIMATANI,JPN,20   47. | 33+  13. [29.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",634,33,DAVID BARRANS,GBR,31+  32. | 29+  31. [32.75],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2347,33,TOMOKI MUSHA,JPN,31+  32. | 29+  31. [32.75],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1502,35,MYKHAYIL TKACHUK,UKR,31+  32. | 26+  38. [36.33],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2493,36,CAMPBELL HARRISON,AUS,23+  38. | 28   35. [37.42],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1713,37,JOSH LEVIN,USA,30+  35. | 26+  38. [37.68],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1776,37,SHANE MESSER,USA,30+  35. | 26+  38. [37.68],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",688,39,MAXIMILLIAN MILNE,GBR,23+  38. | 27+  36. [37.95],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",685,40,AIDAN ROBERTS,GBR,32   31. | 21+  46. [38.37],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",645,41,WILLIAM RIDAL,GBR,23+  38. | 26+  38. [40.00],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2017,42,ALEXANDER AVERDUNK,GER,24   37. | 21+  46. [41.92],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",698,43,JOSEPH CZUBKOWSKI,GBR,23+  38. | 23+  43. [41.95],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",679,43,SAMUEL OAKES,GBR,23+  38. | 23+  43. [41.95],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2840,45,MACIEJ DOBRZANSKI,POL,21+  44. | 26+  38. [42.43],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",651,46,PETER DAWSON,GBR,19+  48. | 27   37. [42.80],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",3123,47,SIMON UNGER,GER,23   43. | 23+  43. [43.50],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1055,48,KATLEHO POBE,RSA,21+  44. | 19+  50. [48.14],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1367,49,TOMAS BINTER,CZE,19+  48. | 21+  46. [48.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",654,50,ORRIN COLEY,GBR,19+  48. | 19+  50. [50.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1429,50,JAKUB DVORAK,CZE,19+  48. | 19+  50. [50.49],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",724,52,JOSEPH WALMSLEY,GBR,17   55. | 21+  46. [51.11],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",678,53,THOMAS MATTHEWS,GBR,17+  52. | 19+  50. [52.24],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",668,54,AIDEN DUNNE,GBR,17+  52. | 19   54. [53.50],,
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",1787,55,JORDAN ROMIG,USA,17+  52. | 17   55. [53.99],,
