Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1234,38,GEORG PARMA,M,AUT,33+  27. | 34   43. [36.23],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1772,39,KAI LIGHTNER,M,USA,28   51. | 44+  23. [36.40],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2014,40,CHRISTOPH HANKE,M,GER,28+  44. | 42+  29. [37.55],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",318,40,SIMON LORENZI,M,BEL,28+  44. | 42+  29. [37.55],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",320,42,NICOLAS COLLIN,M,BEL,30+  40. | 37   39. [39.74],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1264,43,MATTHIAS SCHIESTL,M,AUT,29   42. | 37+  37. [39.92],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",912,44,FILIP SCHENK,M,ITA,34+  21. | 28+  74. [40.94],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3889,45,MARTIN TEKLES,M,GER,33+  27. | 31+  57. [42.77],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1576,46,ELAN JONASMCRAE,M,CAN,28+  44. | 35+  40. [43.36],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",103,47,SERGEI BYDTAEV,M,RUS,25   59. | 40   34. [44.98],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2289,48,MINORU NAKANO,M,JPN,25+  56. | 38   36. [45.30],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1135,49,MARTIN BERGANT,M,SLO,30+  40. | 33   50. [45.67],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",857,50,MICHAEL PICCOLRUAZ,M,ITA,28   51. | 34   43. [48.56],,
