Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,2254,1,SACHI AMMA,JPN,39+  5. | TOP  1. [3.32],36+,53+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,1559,2,SEAN MCCOLL,CAN,40   4. | 46+  4. [4.00],34+,50+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,1214,3,JAKOB SCHUBERT,AUT,TOP  1. | 39+  11. [4.90],34,49
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,3058,4,MAGNUS MIDTBOE,NOR,33+  14. | 45   6. [12.09],36+,48+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,437,5,ROMAIN DESGRANGES,FRA,39+  5. | 45   6. [5.98],36,44
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,855,6,STEFANO GHISOLFI,ITA,35+  10. | 36+  14. [12.76],33,44
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,773,7,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | TOP  1. [2.00],42+,38+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,2039,8,HYUNBIN MIN,KOR,34+  12. | 44+  8. [10.39],34+,15
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,3124,9,THOMAS TAUPORN,GER,39   7. | 44+  8. [8.22],32+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,4936,10,KEVIN AGLAE,FRA,33   32. | 34+  20. [26.74],32+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,61,11,MIKHAIL CHERNIKOV,RUS,33+  14. | TOP  1. [6.71],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,1216,12,MARIO LECHNER,AUT,34   13. | 36+  14. [14.20],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,1476,13,VALERIY KRYUKOV,UKR,33+  14. | 44+  8. [14.23],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,4716,14,KLEMEN BECAN,SLO,TOP  1. | 39+  11. [4.90],30,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,447,15,MANUEL ROMAIN,FRA,35+  10. | 25   34. [19.44],30,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,4783,16,AKITO MATSUSHIMA,JPN,36+  9. | 45+  5. [6.71],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,864,17,FRANCESCO VETTORATA,ITA,33+  14. | 39+  11. [16.43],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,5256,18,EDUARD MARIN GARCIA,ESP,33+  14. | 33   25. [23.72],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,5923,19,ROMAIN BUSETTA,FRA,33+  14. | 32+  26. [24.65],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,5597,20,EMMANUEL LOPEZ,FRA,33+  14. | 36+  14. [18.67],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,634,21,DAVID BARRANS,GBR,33+  14. | 34+  20. [22.25],25+,
