Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2254,1,SACHI AMMA,M,JPN,TOP  1. | TOP  1. [1.50],49+,54+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1214,2,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [1.50],46+,54+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,773,3,RAMÓN JULIAN PUIGBLANQUE,M,ESP,24   25. | 39+  3. [11.29],56+,52+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2039,4,HYUNBIN MIN,M,KOR,38+  7. | 38+  8. [8.22],49+,51+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3058,5,MAGNUS MIDTBOE,M,NOR,9   38. | 39+  3. [13.96],44+,44+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,448,6,THOMAS BALLET,M,FRA,39+  5. | 29   15. [8.80],45+,41+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,444,7,GAUTIER SUPPER,M,FRA,37+  9. | 39+  3. [6.89],43+,40
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,437,8,ROMAIN DESGRANGES,M,FRA,43+  3. | 39+  3. [4.18],48+,35
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,447,9,MANUEL ROMAIN,M,FRA,39   6. | 38+  8. [7.35],43+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1559,10,SEAN MCCOLL,M,CAN,43+  3. | 39+  3. [4.18],42+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,61,11,MIKHAIL CHERNIKOV,M,RUS,30+  14. | 30+  11. [12.96],42+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1127,12,URBAN PRIMOZIC,M,SLO,38+  7. | 28   17. [11.78],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1216,13,MARIO LECHNER,M,AUT,35   12. | 28   17. [14.90],39+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2289,14,MINORU NAKANO,M,JPN,28   17. | 26   25. [21.12],39,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,5033,15,SERGEJ EPIH,M,SLO,35+  11. | 29   15. [13.06],38+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2014,16,CHRISTOPH HANKE,M,GER,26+  20. | 26+  23. [21.68],38+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6217,17,DAISUKE KASAHARA,M,JPN,28+  16. | 28   17. [17.20],37+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1228,18,BERNHARD RÖCK,M,AUT,21   33. | 38+  8. [17.36],37+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,855,19,STEFANO GHISOLFI,M,ITA,21+  30. | 30+  11. [19.29],37+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,864,20,FRANCESCO VETTORATA,M,ITA,22+  28. | 28   17. [22.76],37+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2259,21,NAOTO HAKAMADA,M,JPN,9   38. | 29+  14. [23.37],37,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,66,22,ARMAN TER-MINASYAN,M,RUS,34+  13. | 30+  11. [12.49],36+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3124,23,THOMAS TAUPORN,M,GER,37+  9. | 26+  23. [14.94],33+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3897,24,TOMAS RAVANAL,M,CHI,27   19. | 27+  21. [20.21],33+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3125,25,SEBASTIAN HALENKE,M,GER,28   17. | 25+  28. [23.29],33+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1135,26,MARTIN BERGANT,M,SLO,29   15. | 27+  21. [17.96],28+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,854,27,MARCELLO BOMBARDI,M,ITA,24+  22. | 25+  28. [26.70],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6185,27,LUDOVIC LEFEVRE,M,FRA,24+  22. | 25+  28. [26.70],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3581,27,ELKO SCHELLINGERHOUT,M,NED,24+  22. | 25+  28. [26.70],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,4943,30,DANIEL MORENO DE LOS HUERTO,M,ESP,26   21. | 24   35. [27.30],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1221,31,MAX RUDIGIER,M,AUT,16+  35. | 26   25. [29.87],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,4945,32,LUKAS KÖB,M,AUT,22   29. | 25+  28. [29.98],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2276,33,TOMOA NARASAKI,M,JPN,24   25. | 23+  37. [30.72],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3112,34,RUBEN FIRNENBURG,M,GER,21   33. | 25+  28. [32.23],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3982,35,OR WECHSLER,M,ISR,23   27. | 20+  38. [32.24],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,72,36,YURY NOVITSKIY,M,RUS,4   41. | 25.5+  27. [33.27],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2033,37,JABEE KIM,M,KOR,9+  37. | 25+  28. [33.87],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3136,38,CESAR GROSSO,M,BRA,21+  30. | 20+  38. [34.55],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3111,39,DAVID FIRNENBURG,M,GER,21+  30. | 13+  40. [35.43],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1128,40,JURE RAZTRESEN,M,SLO,9   38. | 24   35. [37.21],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1367,41,TOMAS BINTER,M,CZE,15+  36. | 13+  40. [38.18],,
