Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,4942,48,DAISUKE KONISHI,JPN,29-  54. | 45+  39. [46.18],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5927,49,BENJAMIN SILLMANN,GER,32+  46. | 43   50. [48.20],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5924,50,DREW HAIGH,GBR,30   50. | 45-  45. [48.22],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5330,51,MIHA SKOF,SLO,28-  56. | 45   41. [48.79],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,1199,52,JÜRGEN REIS,AUT,32-  47. | 43-  52. [49.70],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,3579,53,NICKY DE LEEUW,NED,31   49. | 41   54. [51.44],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,66,54,ARMAN TER-MINASYAN,RUS,32-  47. | 40-  56. [51.58],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5036,55,EIRIK BIRKELUND OLSEN,NOR,30-  51. | 40   55. [52.96],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,4865,56,SERGEI SHAFEROV,BLR,19-  59. | 43   50. [54.58],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5846,57,PETR RESCH,CZE,29   52. | 37-  59. [55.66],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,2839,58,PIOTR BUNSCH,POL,28   55. | 39+  57. [55.99],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5748,59,ALAN CASSIDY,GBR,25   57. | 37+  58. [57.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5928,60,DIEGO LUIS GONZÁLEZ,MEX,20   58. | 35   60. [58.99],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,2929,61,QIXIN ZHONG,CHN,16+  60. | 19+  61. [60.50],,
