Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13627,53,ARDCH INTRACHUPONGSE,M,THA,6.83,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",14557,54,EVAN HOMAN,M,USA,6.95,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13933,55,JACK WHITNEY,M,CAN,7.10,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13664,56,AIDAN GODDARD,M,USA,7.39,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",14009,57,GINTA UEGAKI,M,JPN,7.53,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13888,58,ANDRÉS ALENCASTER,M,MEX,7.78,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",14571,59,JOEY KIM,M,USA,7.79,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13592,60,ZACH HAMMER,M,USA,7.93,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11602,61,SEBASTIAN LUCKE,M,GER,8.01,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",2069,62,SEUNGBEOM LEE,M,KOR,FALL,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",2456,63,GIGA JANKHOTELI,M,GEO,FALSE START,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",2463,63,GIORGI JAPARIDZE,M,GEO,FALSE START,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",899,,GIAN LUCA ZODDA,M,ITA,DNS,
