Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13914,61,FLYNN CHISHOLM,M,NZL,7.48,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13060,62,DAMIR TOKTAROV,M,KAZ,7.49,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2122,63,JONGBIN CHOI,M,KOR,7.95,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13932,64,ADRIEN LEVESQUE,M,CAN,8.02,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",474,65,GUILLAUME MORO,M,FRA,8.44,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2240,66,CHEUK-NAM WONG,M,HKG,10.60,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11409,67,LIANG ZHANG,M,CHN,FALL,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3471,68,REZA ALIPOUR SHENAZANDIFARD,M,IRI,FALSE START,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11414,68,LONG CAO,M,CHN,FALSE START,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3115,68,LEANDER CARMANNS,M,GER,FALSE START,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11701,68,ERIK NOYA CARDONA,M,ESP,FALSE START,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11893,68,ETHAN PITCHER,M,CAN,FALSE START,
