Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",320,56,NICOLAS COLLIN,M,BEL,9.390,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1394,57,MATEJ BURIAN,M,CZE,9.420,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",4074,58,İSMAİL OZTÜRK,M,TUR,9.540,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3141,59,FELIPE HO FOGANHOLO,M,BRA,9.590,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",318,60,SIMON LORENZI,M,BEL,9.730,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2574,61,ALEXANDER MEGOS,M,GER,10.010,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3136,62,CESAR GROSSO,M,BRA,10.080,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3915,63,EMILIO RIOS,M,CHI,10.100,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3916,64,BENJAMIN VARGAS,M,CHI,10.280,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2874,65,OLAF MALINOWSKI,M,POL,10.780,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",792,66,BITTOR ESPARTA FRADE,M,ESP,10.830,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",172,67,VLADISLAV SHEVCHENKO,M,RUS,11.130,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3903,68,BENJAMIN AYALA,M,CHI,12.000,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3138,69,PEDRO FERREIRA NICOLOSO,M,BRA,12.010,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3147,70,JEAN OURIQUES,M,BRA,12.700,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",788,71,ÀLEX HERNÁNDEZ CASTILLA,M,ESP,13.810,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3163,72,SANTIAGO CHRISTENSEN,M,ARG,13.850,
