Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2055,38,MINSEON KIM,KOR,14   46. | 32+  21. [32.88],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,457,39,NOLWEN BERTHIER,FRA,24+  23. | 23+  41. [33.67],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2053,39,HAIMI CHO,KOR,24+  23. | 23+  41. [33.67],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2056,41,JIWON BAE,KOR,19+  37. | 23+  41. [39.69],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,6347,42,MARTINA BLANCHET,ITA,9+  51. | 31+  27. [39.76],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,1368,43,GABRIELA VRABLIKOVA,CZE,19+  37. | 20+  44. [41.76],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2324,44,KOKORO TAKATA,JPN,12+  47. | 27+  38. [42.49],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2666,45,KATRIN AMANN,SWE,17+  42. | 20+  44. [44.72],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,4926,45,IRATI ANDA VILLANUEVA,ESP,17+  42. | 20+  44. [44.72],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,6409,45,MAJA BOZICH,CRO,17+  42. | 20+  44. [44.72],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2488,48,LUCINDA ANN TURNBULL,AUS,19   39. | 10.5+  51. [45.17],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2051,49,SEUNGHYUN KIM,KOR,17   45. | 20+  44. [45.74],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,321,50,CELINE CUYPERS,BEL,10+  49. | 20+  44. [47.98],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,1370,51,TEREZA SVOBODOVA,CZE,12+  47. | 11+  50. [48.73],,
