Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,2035,1,JAIN KIM,F,KOR,46   9. | TOP  1. [4.74],45,TOP
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,1122,2,MINA MARKOVIC,F,SLO,48   5. | TOP  1. [3.54],44+,50
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,2263,3,MOMOKA ODA,F,JPN,48+  3. | TOP  1. [2.96],44+,43+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,68,4,DINARA FAKHRITDINOVA,F,RUS,49   2. | 41   9. [4.24],42+,43+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,2253,5,AKIYO NOGUCHI,F,JPN,45   10. | 42+  6. [7.75],42+,43+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,315,6,ANAK VERHOEVEN,F,BEL,17   36. | 39+  11. [21.51],42+,38+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,455,7,HÉLÈNE JANICOT,F,FRA,46+  8. | 44   5. [6.32],42+,36+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,1224,8,MAGDALENA RÖCK,F,AUT,TOP  1. | TOP  1. [1.58],42+,30+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,848,9,JENNY LAVARDA,F,ITA,37+  13. | 39+  11. [13.23],38,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,1202,10,BARBARA BACHER,F,AUT,37+  13. | 33+  18. [16.31],38,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,1222,11,KATHARINA POSCH,F,AUT,47   6. | 41+  7. [6.98],37+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,4916,12,MATHILDE BRUMAGNE,F,BEL,47   6. | 40+  10. [8.06],37+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,467,13,SALOMÉ ROMAIN,F,FRA,38   12. | 41+  7. [9.49],36+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,3247,14,REBEKKA STOTZ,F,SUI,48+  3. | 10   38. [11.53],36,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,2251,15,YUKA KOBAYASHI,F,JPN,39+  11. | 39+  11. [11.73],29+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,3580,16,NIKKI VAN BERGEN,F,NED,37+  13. | 39+  11. [13.23],29+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,2047,17,SOL SA,F,KOR,36+  17. | 33+  18. [18.49],28+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,860,18,CLAUDIA GHISOLFI,F,ITA,32+  25. | 31+  23. [24.24],27+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,4764,19,MANUELA SIGRIST,F,SUI,37   16. | 34+  17. [16.49],22+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,3060,20,TINA JOHNSEN HAFSAAS,F,NOR,36+  17. | 35+  16. [16.97],22+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,5031,21,TINA SUSTERSIC,F,SLO,34   23. | 31   25. [24.24],22+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,49,22,EVGENIIA MALAMID,F,RUS,34+  21. | 39   15. [17.96],19+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,3130,23,KATHERINE CHOONG,F,SUI,36+  17. | 32   22. [19.90],19+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,5030,24,CHRISTINA STÜTZ,F,AUT,34+  21. | 33+  18. [20.21],19+,
