Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1147,1,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [5.12],TOP,43
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,4323,43,SOLVEIG KORHERR,GER,28+  38. | 28+  41. [41.00],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,977,44,SILVIA CASSOL,ITA,33   33. | 19+  49. [41.02],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,4285,45,EVELYNE FUX,SUI,28   44. | 29+  37. [41.12],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1577,46,REBECCA FRANGOS,CAN,21+  50. | 31   35. [42.55],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,884,47,LISA DE MARTINI,ITA,24+  48. | 29+  37. [42.93],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,321,48,CELINE CUYPERS,BEL,30+  35. | 13+  55. [44.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1397,49,LENKA SLEZAKOVA,CZE,26+  46. | 24+  45. [46.25],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2304,50,NATSUKO SHIMIZU,JPN,21+  50. | 24+  45. [48.70],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2488,50,LUCINDA ANN TURNBULL,AUS,21+  50. | 24+  45. [48.70],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,895,52,ILARIA SCOLARIS,ITA,26   47. | 19+  49. [48.96],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,3858,53,NEA HERFORTH BAEHR,DEN,24+  48. | 19+  49. [49.73],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,800,54,MURIEL RUÍZ DE LARRAMENDI ARANGOA,ESP,13   56. | 24+  45. [51.03],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2685,55,NANNA SÖDERIN,SWE,20+  53. | 17   54. [53.50],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,1625,56,ANNIE CHOUINARD,CAN,14   54. | 11   56. [54.99],,
