Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2035,1,JAIN KIM,F,KOR,TOP  1. | TOP  1. [1.41],50+,36+
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",1122,2,MINA MARKOVIC,F,SLO,42   4. | 46   7. [5.48],47+,36+
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",68,3,DINARA FAKHRITDINOVA,F,RUS,43+  2. | TOP  1. [2.24],43+,35+
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2263,4,MOMOKA ODA,F,JPN,43+  2. | 49+  4. [3.16],47+,33+
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2253,5,AKIYO NOGUCHI,F,JPN,41   5. | TOP  1. [3.16],45+,31+
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",4916,6,MATHILDE BRUMAGNE,F,BEL,26   21. | 43   10. [14.85],39+,21
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",1224,7,MAGDALENA RÖCK,F,AUT,29   16. | 48+  5. [8.94],45+,19+
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",1219,8,JOHANNA ERNST,F,AUT,40+  6. | 47+  6. [6.00],45,19
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",455,9,HÉLÈNE JANICOT,F,FRA,34+  10. | 40+  13. [11.40],38+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",445,10,CHARLOTTE DURIF,F,FRA,33+  11. | 43   10. [10.99],38,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",49,11,EVGENIIA MALAMID,F,RUS,38+  7. | 43+  9. [7.94],37,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2251,12,YUKA KOBAYASHI,F,JPN,33+  11. | 39+  14. [12.91],37,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",1222,13,KATHARINA POSCH,F,AUT,36+  8. | 46   7. [7.75],31+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2268,14,AYA ONOE,F,JPN,32+  13. | 39+  14. [13.73],30+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",1202,15,BARBARA BACHER,F,AUT,31+  14. | 27+  20. [17.55],25+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",848,16,JENNY LAVARDA,F,ITA,26+  19. | 34+  17. [18.21],25,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2043,17,SEURAN HAN,F,KOR,29+  15. | 42+  12. [13.42],24+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",1121,18,MAJA STREMFELJ,F,SLO,36   9. | 11+  29. [16.43],24+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",6212,19,AYAKA TAKEUCHI,F,JPN,28+  17. | 36   16. [16.49],23+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",6211,20,ANASTASIIA SAMOILINA,F,RUS,24+  22. | 27+  20. [22.00],23+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2053,21,HAIMI CHO,F,KOR,23   25. | 27+  20. [23.69],21,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2036,22,IN KYOUNG KIM,F,KOR,26+  19. | 27+  20. [20.71],17,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",3273,23,VIRGITA NADYA PUTRI,F,INA,28   18. | 27+  20. [19.90],16+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2139,24,HUNG YING LEE,F,TPE,23+  24. | 33+  18. [20.78],16+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2050,25,SOLAH KIM,F,KOR,23   25. | 30+  19. [22.01],16+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",3272,26,ABDUL ROCHMAN SYARIFAH,F,INA,24   23. | 17+  26. [24.92],16+,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",2044,27,HANNARAI SONG,F,KOR,22+  27. | 20+  25. [25.98],,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",6213,28,WOONWHA JEONG,F,KOR,18   29. | 17+  26. [28.22],,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",4998,28,HYOJUNG KIM,F,KOR,18   29. | 17+  26. [28.22],,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",6214,30,SOYOUNG JUEN,F,KOR,21   28. | 11+  29. [28.98],,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",5000,31,YOUNGSOOK CHOI,F,KOR,15+  31. | 11+  29. [30.50],,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",3703,32,DENSMAA BAYARSAIKHAN,F,MGL,5+  32. | 9+  32. [32.25],,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",6215,33,NYAMKHAND DUGARJAV,F,MGL,3+  33. | 9+  32. [33.00],,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",6216,34,ARIUNOD BATSAIKHAN,F,MGL,3+  33. | 5+  34. [33.75],,
