Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",315,1,ANAK VERHOEVEN,BEL,TOP  1. | TOP  1. [4.90],TOP,TOP
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2035,2,JAIN KIM,KOR,TOP  1. | TOP  1. [4.90],35,49+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1147,3,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [4.90],39+,29+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",456,4,MATHILDE BECERRA,FRA,TOP  1. | 46   23. [11.87],35+,29
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1122,5,MINA MARKOVIC,SLO,TOP  1. | TOP  1. [4.90],40+,27+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3426,6,ANNE-SOPHIE KOLLER,SUI,TOP  1. | 50+  8. [7.55],41+,26+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2251,7,YUKA KOBAYASHI,JPN,41+  12. | 48+  14. [13.92],36+,25
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",466,8,JULIA CHANOURDIE,FRA,TOP  1. | TOP  1. [4.90],37+,15+
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1224,9,MAGDALENA RÖCK,AUT,TOP  1. | TOP  1. [4.90],34+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1210,10,CHRISTINE SCHRANZ,AUT,40+  14. | 50   12. [13.42],34+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1222,11,KATHARINA POSCH,AUT,TOP  1. | TOP  1. [4.90],33+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",455,12,HÉLÈNE JANICOT,FRA,41+  12. | 50+  8. [10.90],32+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2270,13,YUKI HIROSHIGE,JPN,39+  18. | 47+  18. [18.97],32+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",68,14,DINARA FAKHRITDINOVA,RUS,37+  25. | 48+  14. [19.88],32+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",445,15,CHARLOTTE DURIF,FRA,38   24. | 46+  19. [22.18],32+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",860,16,CLAUDIA GHISOLFI,ITA,39+  18. | 45   27. [23.24],30+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1486,17,IEVGENIIA KAZBEKOVA,UKR,39+  18. | 48+  14. [17.61],26+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",891,18,ASJA GOLLO,ITA,40+  14. | 46+  19. [17.54],26,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",467,19,SALOMÉ ROMAIN,FRA,TOP  1. | 50+  8. [7.55],24+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2267,20,RISA OTA,JPN,40+  14. | 49   13. [13.96],24+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2324,21,KOKORO TAKATA,JPN,39   23. | 46+  19. [21.71],22+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1139,22,TJASA KALAN,SLO,TOP  1. | 50+  8. [7.55],21+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1133,23,REBEKA KAMIN,SLO,36   28. | 48+  14. [21.02],21+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1724,24,DELANEY MILLER,USA,40   17. | 46   23. [19.99],17+,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3984,25,NETTA FREDMAN,ISR,35+  30. | 46+  19. [24.80],17+,
