Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1122,1,MINA MARKOVIC,F,SLO,TOP  1. | TOP  1. [4.03],59+,60+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2263,2,MOMOKA ODA,F,JPN,TOP  1. | 50+  5. [5.70],56+,60+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2035,3,JAIN KIM,F,KOR,TOP  1. | 49   8. [7.43],52+,57.5
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,455,4,HÉLÈNE JANICOT,F,FRA,TOP  1. | TOP  1. [4.03],51+,56.5+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1224,5,MAGDALENA RÖCK,F,AUT,TOP  1. | TOP  1. [4.03],59+,51+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,49,6,EVGENIIA MALAMID,F,RUS,38   13. | 49   8. [10.71],53,47+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1226,7,JESSICA PILZ,F,AUT,TOP  1. | 43+  13. [9.37],51+,43+
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,68,8,DINARA FAKHRITDINOVA,F,RUS,23+  23. | TOP  1. [7.58],56+,38
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,4916,9,MATHILDE BRUMAGNE,F,BEL,TOP  1. | 45+  12. [8.83],49+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3247,10,REBEKKA STOTZ,F,SUI,TOP  1. | 42+  16. [10.51],48+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,5031,11,TINA SUSTERSIC,F,SLO,24   22. | 24   30. [25.69],48,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,58,12,YANA CHERESHNEVA,F,RUS,TOP  1. | 49+  7. [6.75],46,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1222,13,KATHARINA POSCH,F,AUT,TOP  1. | 26   28. [13.49],45+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3060,14,TINA JOHNSEN HAFSAAS,F,NOR,16+  30. | 47   11. [18.61],44+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1121,15,MAJA STREMFELJ,F,SLO,30+  18. | 42+  16. [17.49],44,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1209,16,KATHARINA SAURWEIN,F,AUT,TOP  1. | 50   6. [6.24],43+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1202,17,BARBARA BACHER,F,AUT,38   13. | 48+  10. [11.62],38+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,5030,18,CHRISTINA STÜTZ,F,AUT,17   29. | 43   15. [20.86],38+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2251,19,YUKA KOBAYASHI,F,JPN,35+  17. | 42+  16. [17.00],36+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,4764,20,MANUELA SIGRIST,F,SUI,24+  19. | 39+  20. [20.98],36+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3580,21,NIKKI VAN BERGEN,F,NED,TOP  1. | 43+  13. [9.37],36,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1486,22,IEVGENIIA KAZBEKOVA,F,UKR,37+  15. | 40+  19. [17.16],35+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6179,23,HANNAH BAEHR,F,GER,37+  15. | 39+  20. [18.47],35+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,1130,24,KATJA DEBEVEC,F,SLO,20+  24. | 39+  20. [23.92],31+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6138,25,JERA LENARDIC,F,SLO,20+  24. | 39+  20. [23.92],30+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6235,26,EILLEEN JUBES ANGARITA,F,ESP,24+  19. | 23   33. [25.69],28+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,3110,27,DENISE BERTRAM,F,GER,24+  19. | 25+  29. [24.08],25,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,859,28,ANDREA EBNER,F,ITA,20+  24. | 37+  26. [26.00],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6272,29,MONA KELLNER,F,GER,20+  24. | 33+  27. [26.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,848,30,JENNY LAVARDA,F,ITA,11   34. | 39+  20. [27.35],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,75,31,EKATERINA NOVITSKAIA,F,RUS,16+  30. | 38+  25. [28.06],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6222,32,SAKIKO OSAWA,F,JPN,20+  24. | 23+  31. [28.62],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6240,33,GIULIA ALTON,F,ITA,16+  30. | 23+  31. [31.50],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2294,34,MIHO NONAKA,F,JPN,16+  30. | 8+  35. [33.20],,
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,6273,35,ANASTASIA KARKAVINA,F,RUS,8+  35. | 18+  34. [34.50],,
