Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1122,1,MINA MARKOVIC,F,SLO,TOP  1. | TOP  1. [2.96],39+,37+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2263,2,MOMOKA ODA,F,JPN,TOP  1. | 40+  7. [4.95],38+,37+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1121,3,MAJA STREMFELJ,F,SLO,TOP  1. | TOP  1. [2.96],37,37+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2035,4,JAIN KIM,F,KOR,TOP  1. | TOP  1. [2.96],TOP,36+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2253,5,AKIYO NOGUCHI,F,JPN,TOP  1. | 39+  8. [5.45],35+,31+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1219,6,JOHANNA ERNST,F,AUT,39   9. | TOP  1. [4.74],38+,28+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,49,7,EVGENIIA MALAMID,F,RUS,40+  7. | 41+  5. [6.20],38+,28+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1210,8,CHRISTINE SCHRANZ,F,AUT,TOP  1. | 39+  8. [5.45],35+,28+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,68,9,DINARA FAKHRITDINOVA,F,RUS,40   8. | 41+  5. [6.63],TOP,23+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,445,10,CHARLOTTE DURIF,F,FRA,38+  10. | 39   10. [10.49],35+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1222,11,KATHARINA POSCH,F,AUT,38+  10. | 38+  11. [11.00],35+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,455,12,HÉLÈNE JANICOT,F,FRA,26+  18. | 37+  13. [16.64],35+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1209,13,KATHARINA SAURWEIN,F,AUT,26+  18. | 35+  16. [18.39],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1224,14,MAGDALENA RÖCK,F,AUT,36+  13. | 36   15. [14.23],28,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,3580,15,NIKKI VAN BERGEN,F,NED,36+  13. | 38   12. [12.73],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1226,16,JESSICA PILZ,F,AUT,38+  10. | 33+  20. [14.83],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,3247,17,REBEKKA STOTZ,F,SUI,26   24. | 32+  21. [22.98],26,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,6179,18,HANNAH BAEHR,F,GER,26+  18. | 30+  25. [22.64],25+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,6177,19,ANA TIRIPA,F,GER,25+  25. | 35   18. [23.16],25,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2267,20,RISA OTA,F,JPN,26+  18. | 35   18. [19.47],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,6190,21,LINA HIMPEL,F,GER,34   15. | 30   26. [20.07],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,5031,22,TINA SUSTERSIC,F,SLO,26+  18. | 32+  21. [21.24],23+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,848,23,JENNY LAVARDA,F,ITA,25+  25. | 37+  13. [19.79],20+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,859,24,ANDREA EBNER,F,ITA,26+  18. | 25+  31. [25.21],20+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2251,25,YUKA KOBAYASHI,F,JPN,34   15. | 35+  16. [15.99],20,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1202,26,BARBARA BACHER,F,AUT,29+  17. | 28+  27. [21.82],18,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2047,27,SOL SA,F,KOR,25+  25. | 32+  21. [25.26],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,5030,28,CHRISTINA STÜTZ,F,AUT,25+  25. | 31   24. [26.38],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,3060,29,TINA JOHNSEN HAFSAAS,F,NOR,25+  25. | 28+  27. [28.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1139,29,TJASA KALAN,F,SLO,25+  25. | 28+  27. [28.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,6178,31,ANDREA PAVLINCOVA,F,CZE,25+  25. | 28   30. [29.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,860,32,CLAUDIA GHISOLFI,F,ITA,25+  25. | 23+  33. [31.63],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,6137,32,MARIA DAVIES SANDBU,F,NOR,25+  25. | 23+  33. [31.63],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,4918,34,AMANDA ROHNER,F,SUI,23   35. | 24   32. [33.70],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,1370,35,TEREZA SVOBODOVA,F,CZE,23+  34. | 23+  33. [34.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,6224,36,ANJA SERBINEK,F,SLO,23   35. | 23+  33. [35.00],,
