Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2035,1,JAIN KIM,F,KOR,TOP  1. | TOP  1. [3.00],TOP,TOP
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1122,2,MINA MARKOVIC,F,SLO,40   5. | TOP  1. [4.74],45+,TOP
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,315,3,ANAK VERHOEVEN,F,BEL,TOP  1. | TOP  1. [3.00],TOP,48+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1226,4,JESSICA PILZ,F,AUT,TOP  1. | TOP  1. [3.00],43+,48+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,466,5,JULIA CHANOURDIE,F,FRA,38+  9. | TOP  1. [6.54],42,44+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,467,6,SALOMÉ ROMAIN,F,FRA,34+  15. | 38+  13. [15.15],42+,36+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,455,7,HÉLÈNE JANICOT,F,FRA,40+  4. | TOP  1. [4.24],39,36+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2251,8,YUKA KOBAYASHI,F,JPN,35.5+  12. | 40+  9. [10.95],40+,35+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1224,9,MAGDALENA RÖCK,F,AUT,38+  9. | 38+  13. [11.32],36+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1139,10,TJASA KALAN,F,SLO,39   8. | 40+  9. [8.94],35,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1222,11,KATHARINA POSCH,F,AUT,37+  11. | TOP  1. [7.04],29,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1724,12,DELANEY MILLER,F,USA,39+  6. | TOP  1. [5.41],28+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,456,13,MATHILDE BECERRA,F,FRA,39+  6. | 38   15. [10.04],28+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3580,14,NIKKI VAN BERGEN,F,NED,35+  13. | 39   12. [12.73],28+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1210,15,CHRISTINE SCHRANZ,F,AUT,34+  15. | 40+  9. [13.04],28+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,442,16,ALIZÉE DUFRAISSE,F,FRA,34+  15. | 38   15. [16.23],28,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,860,17,CLAUDIA GHISOLFI,F,ITA,32+  22. | 37+  17. [20.17],28,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1202,18,BARBARA BACHER,F,AUT,34   20. | 33   21. [20.49],27+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,642,19,MOLLY THOMPSON-SMITH,F,GBR,33   21. | 30+  24. [23.37],27+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3060,20,TINA JOHNSEN HAFSAAS,F,NOR,28+  30. | 31   22. [25.98],27+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3254,21,ANDREA KÜMIN,F,SUI,29+  24. | 30   29. [26.93],27+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,848,22,JENNY LAVARDA,F,ITA,35+  13. | 37+  17. [15.80],27,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3888,23,ALINA RING,F,SUI,34+  15. | 37+  17. [17.73],27,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3247,23,REBEKKA STOTZ,F,SUI,34+  15. | 37+  17. [17.73],27,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,3984,25,NETTA FREDMAN,F,ISR,29+  24. | 31   22. [23.72],27,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,457,26,NOLWEN BERTHIER,F,FRA,30+  23. | 30+  24. [24.45],25+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,68,27,DINARA FAKHRITDINOVA,F,RUS,29   27. | 30+  24. [26.98],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,4301,27,MICHELLE HULLIGER,F,SUI,29   27. | 30+  24. [26.98],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,4251,29,CHIARA MARIA CLOSTERMANN,F,GER,29+  24. | 27   30. [27.39],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,49,30,EVGENIIA MALAMID,F,RUS,26+  32. | 30+  24. [28.84],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,328,31,HELOÏSE DOUMONT,F,BEL,29   27. | 25   31. [29.46],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,2666,32,KATRIN AMANN,F,SWE,27   31. | 21   33. [31.98],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1368,33,GABRIELA VRABLIKOVA,F,CZE,22+  33. | 23+  32. [32.50],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,653,34,JENNIFER WOOD,F,GBR,19+  34. | 18   34. [34.25],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,323,35,ELFE CLAES,F,BEL,19+  34. | 16   37. [35.73],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,6449,36,MARGOT VERHAEREN,F,BEL,19   36. | 16+  35. [36.00],,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,1599,36,OLIVIA WYETT,F,CAN,19   36. | 16+  35. [36.00],,
