Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2263,1,MOMOKA ODA,F,JPN,TOP  1. | TOP  1. [4.18],36+,34+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2253,2,AKIYO NOGUCHI,F,JPN,TOP  1. | TOP  1. [4.18],40,34
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1122,3,MINA MARKOVIC,F,SLO,TOP  1. | TOP  1. [4.18],46+,29+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2035,4,JAIN KIM,F,KOR,TOP  1. | TOP  1. [4.18],47,29
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1224,5,MAGDALENA RÖCK,F,AUT,28+  11. | TOP  1. [8.22],40,26+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,68,6,DINARA FAKHRITDINOVA,F,RUS,TOP  1. | TOP  1. [4.18],38,26+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,315,7,ANAK VERHOEVEN,F,BEL,TOP  1. | TOP  1. [4.18],34+,22.5+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1121,8,MAJA STREMFELJ,F,SLO,28+  11. | TOP  1. [8.22],33+,22.5+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,455,9,HÉLÈNE JANICOT,F,FRA,33+  10. | 24+  35. [19.10],33+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,49,10,EVGENIIA MALAMID,F,RUS,28+  11. | TOP  1. [8.22],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1222,11,KATHARINA POSCH,F,AUT,35   7. | 39+  10. [8.37],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1226,12,JESSICA PILZ,F,AUT,34+  8. | 39   11. [9.67],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2268,13,AYA ONOE,F,JPN,34+  8. | 32+  20. [13.83],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1202,14,BARBARA BACHER,F,AUT,26.5+  17. | 37+  12. [16.94],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,3247,15,REBEKKA STOTZ,F,SUI,26.5+  17. | 32+  20. [21.48],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1139,16,TJASA KALAN,F,SLO,22+  34. | 37+  12. [22.14],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2251,17,YUKA KOBAYASHI,F,JPN,28+  11. | 32+  20. [17.43],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,3060,18,TINA JOHNSEN HAFSAAS,F,NOR,26.5   25. | 32+  20. [23.95],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,467,19,SALOMÉ ROMAIN,F,FRA,28+  11. | 37+  12. [13.75],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,6138,20,JERA LENARDIC,F,SLO,26.5+  17. | 32   26. [23.09],22+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,3580,21,NIKKI VAN BERGEN,F,NED,26.5+  17. | 37+  12. [16.94],19+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,848,22,JENNY LAVARDA,F,ITA,26.5+  17. | 37+  12. [16.94],18+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2294,23,MIHO NONAKA,F,JPN,26.5+  17. | 36+  17. [18.67],18+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,3130,24,KATHERINE CHOONG,F,SUI,26.5+  17. | 32+  20. [21.48],18+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,4916,25,MATHILDE BRUMAGNE,F,BEL,28+  11. | 36   18. [15.59],15+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,5031,26,TINA SUSTERSIC,F,SLO,26.5   25. | 32+  20. [23.95],14.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,642,27,MOLLY THOMPSON-SMITH,F,GBR,26.5+  17. | 35+  19. [19.74],11,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,3984,28,NETTA FREDMAN,F,ISR,24   30. | 29+  28. [28.98],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,6177,29,ANA TIRIPA,F,GER,23+  31. | 31   27. [29.16],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,4764,30,MANUELA SIGRIST,F,SUI,25+  27. | 25+  31. [29.66],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,6306,31,JANA VINCOURKOVA,F,CZE,23+  31. | 26+  29. [30.48],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,3203,32,JARA SPÄTE,F,SUI,25+  27. | 24+  35. [31.68],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,5030,33,CHRISTINA STÜTZ,F,AUT,22+  34. | 26+  29. [32.13],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,6224,34,ANJA SERBINEK,F,SLO,24+  29. | 24+  35. [32.53],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1369,35,IVA ONDRA,F,CZE,23   33. | 25   34. [33.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,6033,36,FEDERICA MINGOLLA,F,ITA,21+  37. | 25+  31. [34.41],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,6274,37,PATRICIA HOLZMANN,F,GER,21   38. | 25+  31. [34.87],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1130,38,KATJA DEBEVEC,F,SLO,22+  34. | 24+  35. [35.74],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2669,39,STELLA PLANTIN,F,SWE,18   39. | 20+  39. [39.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,3133,40,JANINE CARDOSO,F,BRA,16+  41. | 19+  40. [40.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,1370,40,TEREZA SVOBODOVA,F,CZE,17+  40. | 14   41. [40.50],,
