Event,ID,Rank,Name,Country,Qualification
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1058,1,CHRISTOPHER COSSER,RSA,1
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1064,2,DAVID NAUDE,RSA,24
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1052,3,CALRIN CURTIS,RSA,16
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1054,4,OLIVER MARX,RSA,36
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1074,5,JAMES BARNES,RSA,360
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1098,6,TONY FLYNN,RSA,125
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,11899,7,CHRISTOPHER WALLACE,RSA,420
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,11835,8,MATTHEW GRUNEWALD,RSA,448
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12310,9,JOSHUA BRUYNS,RSA,648
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1055,10,KATLEHO POBE,RSA,1089
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1107,11,ETHAN PEARMAN,RSA,1183
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1112,12,RENE LOMBARD,RSA,1440
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12309,13,JOHN-DAVID MULLER,RSA,1848
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12410,14,SIMON OFOYURU,UGA,2548
