Event,ID,Rank,Name,Gender,Country,Qualification
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1058,1,CHRISTOPHER COSSER,M,RSA,1
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1064,2,DAVID NAUDE,M,RSA,24
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1052,3,CALRIN CURTIS,M,RSA,16
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1054,4,OLIVER MARX,M,RSA,36
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1074,5,JAMES BARNES,M,RSA,360
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1098,6,TONY FLYNN,M,RSA,125
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,11899,7,CHRISTOPHER WALLACE,M,RSA,420
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,11835,8,MATTHEW GRUNEWALD,M,RSA,448
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12310,9,JOSHUA BRUYNS,M,RSA,648
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1055,10,KATLEHO POBE,M,RSA,1089
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1107,11,ETHAN PEARMAN,M,RSA,1183
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,1112,12,RENE LOMBARD,M,RSA,1440
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12309,13,JOHN-DAVID MULLER,M,RSA,1848
IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020,12410,14,SIMON OFOYURU,M,UGA,2548
