Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1147,1,JANJA GARNBRET,SLO,5T5Z 7 5,4T4Z 8 8,4T4Z 7 5
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2294,2,MIHO NONAKA,JPN,5T5Z 7 6,2T4Z 4 10,4T4Z 7 5
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2253,3,AKIYO NOGUCHI,JPN,5T5Z 6 5,3T3Z 4 4,3T4Z 8 9
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3246,4,PETRA KLINGLER,SUI,5T5Z 9 6,2T4Z 5 7,3T4Z 9 10
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",469,5,FANNY GIBERT,FRA,5T5Z 6 5,3T4Z 6 7,2T3Z 2 3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",636,6,SHAUNA COXSEY,GBR,4T5Z 7 5,2T3Z 2 4,1T3Z 4 6
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2047,7,SOL SA,KOR,3T5Z 3 8,2T3Z 5 7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2357,8,FUTABA ITO,JPN,4T5Z 7 12,2T3Z 8 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",316,9,CHLOE CAULIER,BEL,3T5Z 3 8,1T4Z 4 7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1130,10,KATJA DEBEVEC,SLO,3T5Z 4 6,1T3Z 2 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1161,11,MIA KRAMPL,SLO,4T5Z 5 7,1T3Z 2 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",443,12,MÉLANIE SANDOZ,FRA,3T5Z 7 8,1T3Z 3 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2356,13,SAKI KIKUCHI,JPN,4T5Z 7 11,1T3Z 5 7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1226,14,JESSICA PILZ,AUT,4T5Z 6 6,1T2Z 1 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3840,15,STASA GEJO,SRB,5T5Z 10 7,1T2Z 4 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2795,16,LILLI KIESGEN,GER,3T5Z 3 7,0T2Z 0 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1222,16,KATHARINA POSCH,AUT,3T4Z 12 11,0T2Z 0 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1223,18,BERIT SCHWAIGER,AUT,3T5Z 4 8,0T2Z 0 3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1240,19,FRANZISKA STERRER,AUT,3T5Z 5 6,0T2Z 0 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",144,20,ELENA KRASOVSKAIA,RUS,3T5Z 7 11,0T1Z 0 1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",55,21,EKATERINA KIPRIIANOVA,RUS,3T5Z 6 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1122,21,MINA MARKOVIC,SLO,2T5Z 3 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",4328,23,ALMA BESTVATER,GER,2T5Z 4 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2139,23,HUNG YING LEE,TPE,3T5Z 6 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",526,25,CHARLOTTE ANDRE,FRA,2T5Z 8 13,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1486,25,IEVGENIIA KAZBEKOVA,UKR,3T5Z 8 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1714,27,SIERRA BLAIR-COYLE,USA,3T4Z 8 5,,
