Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1147,1,JANJA GARNBRET,F,SLO,5T5Z 7 6,4T4Z 8 6,4T4Z 5 5
IFSC Climbing Worldcup (B) - Munich (GER) 2019,469,2,FANNY GIBERT,F,FRA,5T5Z 13 11,0T2Z 0 4,4T4Z 8 7
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1161,3,MIA KRAMPL,F,SLO,4T5Z 9 12,0T2Z 0 2,3T3Z 9 9
IFSC Climbing Worldcup (B) - Munich (GER) 2019,466,4,JULIA CHANOURDIE,F,FRA,4T5Z 8 13,0T2Z 0 4,2T2Z 5 5
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1486,5,IEVGENIIA KAZBEKOVA,F,UKR,4T4Z 7 6,1T1Z 1 1,1T3Z 3 7
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1130,6,KATJA DEBEVEC,F,SLO,3T4Z 6 6,0T3Z 0 8,1T2Z 1 6
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1153,7,VITA LUKAN,F,SLO,4T5Z 13 11,0T2Z 0 6,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,947,8,CAMILLA MORONI,F,ITA,4T5Z 9 14,0T2Z 0 7,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1160,8,LUCKA RAKOVEC,F,SLO,4T5Z 10 9,0T2Z 0 7,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4755,10,ALEX JOHNSON,F,USA,4T4Z 8 7,0T2Z 0 8,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2771,11,VANDA MICHALKOVA,F,SVK,3T4Z 9 10,0T1Z 0 1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1226,12,JESSICA PILZ,F,AUT,4T5Z 10 12,0T1Z 0 2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1266,12,MATTEA PÖTZI,F,AUT,4T4Z 18 14,0T1Z 0 2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2343,14,NANAKO KURA,F,JPN,3T4Z 9 8,0T1Z 0 4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,693,14,EMILY PHILLIPS,F,GBR,4T4Z 7 5,0T1Z 0 4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,147,16,VIKTORIIA MESHKOVA,F,RUS,3T4Z 11 10,0T1Z 0 5,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1243,17,JOHANNA FÄRBER,F,AUT,3T4Z 9 6,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3354,17,AFRA HÖNIG,F,GER,2T4Z 2 4,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2501,17,OCEANIA MACKENZIE,F,AUS,4T4Z 5 4,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1164,17,URSKA REPUSIC,F,SLO,5T5Z 10 8,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1750,21,KYRA CONDIE,F,USA,2T4Z 4 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1488,21,MARGARYTA ZAKHAROVA,F,UKR,3T5Z 11 19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4330,23,LUCIA DÖRFFEL,F,GER,2T4Z 5 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,11524,23,AYA SUGAWARA,F,JPN,3T5Z 16 14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4293,25,NATALIE BÄRTSCHI,F,SUI,2T4Z 5 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1812,25,ASHIMA SHIRAISHI,F,USA,3T4Z 5 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4328,27,ALMA BESTVATER,F,GER,3T4Z 8 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,144,27,ELENA KRASOVSKAIA,F,RUS,2T4Z 6 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3254,27,ANDREA KÜMIN,F,SUI,3T4Z 8 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1270,30,SANDRA LETTNER,F,AUT,2T4Z 7 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,697,31,JOANNA NEAME,F,GBR,3T4Z 9 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,653,31,JENNIFER WOOD,F,GBR,2T4Z 8 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,316,33,CHLOE CAULIER,F,BEL,3T4Z 10 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3426,33,ANNE-SOPHIE KOLLER,F,SUI,2T4Z 8 17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1223,35,BERIT SCHWAIGER,F,AUT,3T4Z 12 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,669,35,HANNAH SLANEY,F,GBR,2T4Z 11 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1227,37,JULIA PINGGERA,F,AUT,2T4Z 3 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,8961,37,ELISA VAN DER WEL,F,GER,2T3Z 8 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1137,39,JULIJA KRUDER,F,SLO,1T4Z 1 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4320,39,ROXANA WIENAND,F,GER,2T4Z 5 15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,633,41,NATALIE BERRY,F,GBR,2T4Z 9 15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,903,41,MARTINA ZANETTI,F,ITA,1T4Z 1 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,928,43,LAURA ROGORA,F,ITA,2T3Z 3 4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,8887,43,HELENE WOLF,F,GER,1T4Z 2 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2935,45,RONG JIANG,F,CHN,2T3Z 6 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1870,45,SIENNA KOPF,F,USA,1T4Z 2 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4260,47,SOFYA YOKOYAMA,F,SUI,2T3Z 11 15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3009,47,YUETONG ZHANG,F,CHN,1T4Z 2 14,,
