Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2848,1,ALEKSANDRA MIROSLAW,F,POL,8.940,8.43
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",81,2,YULIYA LEVOCHKINA,F,RUS,8.980,9.93
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",110,3,IULIIA KAPLINA,F,RUS,8.980,8.44
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",479,4,ANOUCK JAUBERT,F,FRA,9.270,8.93
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2834,5,EDYTA ROPEK,F,POL,9.290,8.90
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",452,6,MARGOT HEITZ,F,FRA,9.820,9.35
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",82,7,MARIIA KRASAVINA,F,RUS,9.580,9.56
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",458,8,ESTHER BRUCKNER,F,FRA,9.040,12.60
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",62,9,ALINA GAIDAMAKINA,F,RUS,9.470,9.70
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",4984,10,YANG WANG,F,CHN,10.290,9.71
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",6228,11,NATALIA IAKOVLEVA,F,RUS,10.070,9.90
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",40,12,NATALIA TITOVA,F,RUS,10.320,10.20
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",3357,13,TAMARA ULZHABAYEVA,F,KAZ,10.090,10.31
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2847,14,KLAUDIA BUCZEK,F,POL,9.520,10.32
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2930,15,CUILIAN HE,F,CHN,10.890,11.55
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2842,16,MONIKA PROKOPIUK-KAWECKA,F,POL,10.300,13.27
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",4985,17,WEILING YANG,F,CHN,11.310,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",1209,18,KATHARINA SAURWEIN,F,AUT,17.090,
