Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,3358,47,ARTYOM DEVYATERIKOV,M,KAZ,2T9 2B9,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5728,49,RAFET SERKAN ERCAN,M,TUR,1T1 3B4,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5871,49,BRICE MARTINE,M,FRA,2T3 3B3,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4790,51,BENOIT HEINTZ,M,FRA,1T1 2B6,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,9331,51,SÉBASTIEN VALRAN,M,FRA,2T4 2B3,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4953,53,YOANN LE COUSTER,M,FRA,1T2 1B1,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4150,53,ROLANDS RUGENS,M,LAT,2T5 3B9,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2839,55,PIOTR BUNSCH,M,POL,2T7 3B12,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5791,55,BASTIEN GLAIRON MONDET,M,FRA,1T3 3B6,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5894,57,MARSHAL GERMAN,M,CAN,1T1 1B1,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,1357,57,STEPAN STRANIK,M,CZE,0T 2B4,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,3359,59,NIKITA DEVYATERIKOV,M,KAZ,0T 0B,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4808,59,JAKUB KOVACIK,M,SVK,0T 0B,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,1560,59,JJ MAH,M,CAN,1T2 1B1,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4708,62,PIERRE ERIC GOUDAL,M,FRA,1T4 4B8,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5901,63,IGNACIO FUERTES OLLES,M,ESP,0T 2B3,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5970,64,JANIS PRIZAVOITS,M,LAT,0T 2B4,,
